i,scd,src_box4,src_maxd,out_box4,out_bad48,psnr_f0,psnr_f1
0,0.00,3,3,11,0,47.48,47.48
1,0.01,3,6,11,0,47.38,47.44
2,1.08,143,164,126,29417,28.88,29.02
3,0.00,4,6,11,0,47.45,47.47
4,0.14,6,15,11,0,45.64,46.76
5,1.01,141,163,129,30464,28.72,28.85
6,0.00,4,7,11,0,47.50,47.53
7,0.02,4,8,11,0,47.27,47.42
8,1.19,145,170,133,33284,28.42,28.52
9,0.00,4,6,11,0,47.44,47.46
10,0.03,4,9,11,0,47.18,47.33
11,1.24,154,167,137,35176,28.37,28.55
12,0.00,3,7,11,0,47.43,47.46
13,0.03,4,8,11,0,47.20,47.32
14,0.04,160,174,152,921,42.28,41.09
15,0.00,4,8,11,0,47.43,47.44
16,0.02,4,7,11,0,47.23,47.35
17,0.02,150,163,132,281,44.77,45.03
18,0.00,4,6,11,0,47.43,47.44
19,0.02,4,7,11,0,47.26,47.37
20,0.02,150,164,119,262,44.89,44.96
21,0.00,3,5,11,0,47.44,47.45
22,0.01,4,7,11,0,47.34,47.41
23,13.27,172,180,161,457702,16.37,15.54
24,0.00,2,3,10,0,50.15,50.15
25,0.00,1,2,10,0,50.15,50.15
26,0.00,0,2,10,0,50.15,50.15
27,0.00,0,0,10,0,50.15,50.15
28,0.00,0,0,10,0,50.15,50.15
29,0.00,0,0,10,0,50.15,50.15
30,0.00,0,0,10,0,50.15,50.15
31,0.00,0,0,10,0,50.15,50.15
32,0.00,0,0,10,0,50.15,50.15
33,0.00,0,0,10,0,50.15,50.15
34,0.00,0,0,10,0,50.15,50.15
35,0.01,3,6,10,0,49.95,50.03
36,0.05,112,141,68,186,46.90,41.51
37,0.00,3,7,10,0,50.06,50.08
38,0.02,4,7,10,0,49.76,49.93
39,0.03,96,122,56,463,45.23,45.81
40,0.00,3,6,10,0,50.05,50.08
41,0.02,4,7,10,0,49.74,49.93
42,0.06,137,149,113,3823,39.01,44.74
43,0.00,2,6,10,0,50.14,50.14
44,0.01,4,7,9,0,49.93,50.02
45,0.07,136,149,100,627,44.50,39.11
46,0.00,3,6,10,0,50.06,50.08
47,0.02,4,7,10,0,49.78,49.94
48,0.03,95,122,60,432,45.46,45.65
49,0.00,3,5,10,0,50.07,50.08
50,0.02,3,6,10,0,49.79,49.96
51,0.03,95,122,57,466,45.29,45.83
52,0.06,4,11,10,0,47.54,49.23
53,0.02,4,7,10,0,49.81,49.98
54,0.05,95,119,60,435,45.33,45.69
55,0.00,4,6,10,0,50.08,50.12
56,0.03,4,7,10,0,49.63,49.92
57,0.03,95,120,57,486,45.21,45.85
58,0.00,3,5,10,0,50.16,50.16
59,0.02,4,7,10,0,49.72,49.95
60,0.07,134,149,115,3835,38.98,44.69
61,0.00,3,6,10,0,50.12,50.16
62,0.02,4,7,10,0,49.68,49.96
63,0.04,112,137,65,184,46.87,41.48
64,0.00,3,5,10,0,50.10,50.13
65,0.02,4,8,9,0,49.70,49.94
66,0.03,94,119,56,478,45.22,45.85
67,0.00,3,5,10,0,50.15,50.16
68,0.02,4,7,9,0,49.78,49.97
69,0.03,95,119,61,440,45.39,45.72
70,0.00,4,5,10,0,50.11,50.13
71,0.02,4,8,9,0,49.69,49.94
72,0.04,113,136,112,2061,41.33,47.38
73,0.00,3,7,10,0,50.14,50.17
74,0.02,4,8,10,0,49.72,49.98
75,0.04,113,135,68,190,46.88,41.48
76,0.00,3,5,10,0,50.10,50.13
77,0.02,4,8,10,0,49.73,49.95
78,0.03,95,118,56,486,45.20,45.84
79,0.00,3,7,10,0,50.13,50.15
80,0.02,4,9,10,0,49.72,49.95
81,0.04,95,118,60,446,45.37,45.66
82,0.00,3,5,10,0,50.07,50.11
83,0.04,4,7,10,0,49.34,49.80
84,0.07,112,140,112,2055,41.16,47.12
85,0.01,3,6,10,0,49.99,50.08
86,0.00,3,5,10,0,50.08,50.11
87,0.00,3,5,10,0,50.11,50.14
88,0.00,3,4,10,0,50.14,50.14
89,0.00,3,4,10,0,50.13,50.15
90,0.00,3,4,10,0,50.13,50.14
91,0.00,3,5,10,0,50.14,50.15
92,0.00,3,3,10,0,50.14,50.15
93,0.00,3,3,10,0,50.15,50.15
94,0.00,3,3,10,0,50.14,50.15
95,0.01,3,6,10,0,49.91,50.04
96,0.05,112,139,67,186,46.85,41.49
97,0.00,3,5,10,0,50.07,50.10
98,0.02,4,6,10,0,49.73,49.95
99,0.03,95,118,56,472,45.19,45.85
100,0.04,5,12,10,0,47.98,49.33
101,0.02,4,7,10,0,49.81,49.98
102,0.05,95,118,60,428,45.34,45.69
103,0.00,4,7,10,0,50.08,50.11
104,0.03,4,7,10,0,49.64,49.93
105,0.03,95,119,58,489,45.20,45.87
106,0.00,3,4,10,0,50.16,50.16
107,0.02,4,8,10,0,49.75,49.97
108,0.08,134,148,115,3838,38.98,44.72
109,0.00,4,6,10,0,50.13,50.16
110,0.02,4,8,10,0,49.70,49.98
111,0.06,136,148,98,639,44.46,39.11
112,0.00,3,5,10,0,50.15,50.16
